id,store_name,store_email,department,income,date_measured,country
1,"Cullen/Frost Bankers, Inc.",,Clothing,$54438554.24,14 July 2006,UK 
2,Nordson Corporation,,Tools,$41744177.01,3 December 2006,united states of america
3,"Stag Industrial, Inc.",,Beauty,$36152340.34,12 August 2003,UNITED STATES
4,FIRST REPUBLIC BANK,ecanadine3@fc2.com,Automotive,$8928350.04,26 October 2006,UK 
5,Mercantile Bank Corporation,,Baby,$33552742.32,24 December 1973,UK 
6,"Auburn National Bancorporation, Inc.",ccaldeyroux5@dion.ne.jp,Grocery,$69798987.04,11 October 1999,uk
7,"Interlink Electronics, Inc.",orodenborch6@skyrock.com,Garden,$22521052.79,8 June 2001, United States of America
8,"Tallgrass Energy Partners, LP",,Grocery,$54405380.40,16 June 1992,South Africa 
9,Tronox Limited,,Outdoors,$99290004.13,21 January 1992,United States.
10,"Synopsys, Inc.",lcancellieri9@tmall.com,Electronics,$44091294.62,15 November 2006,United States
11,"Hercules Capital, Inc.",,Beauty,$91009365.11,19 October 1994,South Africa/
12,TrustCo Bank Corp NY,,Garden,$24853409.58,7 May 1993,United States 
13,Canadian Pacific Railway Limited,,Electronics,$65184489.16,5 June 1966,United States of America
14,"Copart, Inc.",,Kids,$54371540.24,24 March 2005,South Africa.
15,"Autoliv, Inc.",,Music,$25747934.59,9 November 1986,United Kingdom 
16,New Home Company Inc. (The),nhinchcliffef@whitehouse.gov,Shoes,$90808764.99,14 February 1993,United Kingdom 
17,First Financial Corporation Indiana,,Electronics,$26955392.71,5 February 2007,South Africa.
18,Royal Bank Scotland plc (The),clernihanh@google.cn,Music,$2290913.13,14 August 2002,United States of America 
19,Vulcan Materials Company,croxburghi@ed.gov,Health,$8888812.21,10 August 2009,United States of America/
20,Methanex Corporation,bsussansj@google.es,,$20201805.61,8 May 2009,United States of America
21,Capitala Finance Corp.,,Clothing,$53247043.04,12 October 2009,United States
22,PowerShares S&P SmallCap Energy Portfolio,,Kids,$93408516.83,7 July 1998,South Africa 
23,"Thor Industries, Inc.",,Industrial,$23189326.11,16 February 1993,south africa
24,"Onconova Therapeutics, Inc.",,Movies,$2751890.91,5 September 2005,UK/
25,Assured Guaranty Ltd.,,Jewelry,$41704053.97,3 July 2002,United Kingdom.
26,Canadian Imperial Bank of Commerce,izanetellop@intel.com,Toys,$76415622.90,23 February 2006,United States 
27,Black Hills Corporation,,Garden,$62498022.77,26 May 1969, United Kingdom
28,Novelion Therapeutics Inc. ,,Beauty,$52885296.66,12 July 2012,United States of America/
29,"Synthetic Fixed-Income Securities, Inc.",,Jewelry,$95440266.37,11 September 2001, South Africa
30,"Marinus Pharmaceuticals, Inc.",cperviewt@accuweather.com,Home,$65709900.96,4 October 1996,UNITED STATES
31,Ferroglobe PLC,volderu@yolasite.com,Outdoors,$17091915.76,17 February 1995,United Kingdom/
32,Gladstone Commercial Corporation,,Jewelry,$35560625.69,26 October 1989,United States of America/
33,"Mellanox Technologies, Ltd.",,,$76894243.13,2 March 2010,UK/
34,American Outdoor Brands Corporation,,Toys,$3505941.60,4 May 1994,SOUTH AFRICA
35,"Paychex, Inc.",,Electronics,$15680466.33,13 May 2005,SOUTH AFRICA
36,American Campus Communities Inc,,Electronics,$39976625.15,18 November 2008,South Africa 
37,"Citizens Financial Group, Inc.",dprimmer10@google.com,Movies,$68063757.74,8 June 2012,United States of America/
38,AllianzGI Convertible & Income Fund II,zattenborough11@zdnet.com,Games,$75932149.61,6 October 2007,United Kingdom.
39,"Mueller Industries, Inc.",,Movies,$43762308.69,5 February 2006, UK
40,First Potomac Realty Trust,bglossup13@usnews.com,Tools,$5665154.91,23 January 1997,United States
41,The Gabelli Healthcare & Wellness Trust,,Home,$7096977.36,6 July 1989,united kingdom
42,"Ebix, Inc.",vsprigin15@hatena.ne.jp,Garden,$86041109.50,14 July 1994,UNITED KINGDOM
43,Torchmark Corporation,esliman16@amazon.de,Clothing,$74811428.77,16 October 2006,South Africa 
44,Actua Corporation,,Automotive,$88923238.13,23 December 2011,united states of america
45,"Allied World Assurance Company Holdings, AG",kwestley18@odnoklassniki.ru,Kids,$29713982.25,25 October 1975, United States
46,SeaSpine Holdings Corporation,lwermerling19@icq.com,Health,$72510893.34,23 March 1995,UNITED STATES OF AMERICA
47,"Banco Latinoamericano de Comercio Exterior, S.A.",,Music,$57576442.70,27 April 2006,South Africa
48,First Trust NASDAQ Clean Edge Smart Grid Infrastructure Index ,,Garden,$77830854.66,21 December 2010,UNITED STATES
49,WisdomTree Middle East Dividend Fund,,Garden,$6306471.67,20 February 1987,United Kingdom 
