Firewing Shadowhawk Thunderbeaks Wing Weight
1 0 0 0.372 0.915
1 0 0 0.371 1.16
1 0 0 0.469 1.001
1 0 0 0.262 1.02
1 0 0 0.375 0.95
1 0 0 0.396 1.03
1 0 0 0.39 1.12
1 0 0 0.398 1.455
1 0 0 0.375 1.159
1 0 0 0.375 0.95
1 0 0 0.427 1.49
1 0 0 0.345 1
1 0 0 0.347 0.99
1 0 0 0.376 0.94
1 0 0 0.371 1.08
1 0 0 0.381 0.92
1 0 0 0.398 1.02
1 0 0 0.416 1.5
1 0 0 0.362 1.004
1 0 0 0.391 1.097
1 0 0 0.371 0.895
1 0 0 0.379 1.05
1 0 0 0.371 1.075
1 0 0 0.385 1.195
1 0 0 0.404 1.17
1 0 0 0.41 1.054
1 0 0 0.382 0.86
1 0 0 0.405 1.255
1 0 0 0.414 1.215
1 0 0 0.382 1.35
1 0 0 0.38 0.95
1 0 0 0.381 1.354
1 0 0 0.396 1.169
1 0 0 0.412 1.33
1 0 0 0.37 1.06
1 0 0 0.39 0.92
1 0 0 0.375 0.855
1 0 0 0.385 0.94
1 0 0 0.372 0.985
1 0 0 0.411 1.22
1 0 0 0.371 0.945
1 0 0 0.412 1.31
1 0 0 0.367 1.06
1 0 0 0.385 1.045
1 0 0 0.374 1.064
1 0 0 0.397 1.01
1 0 0 0.372 1.01
1 0 0 0.401 0.965
1 0 0 0.369 0.995
0 1 0 0.171 0.095
0 1 0 0.197 0.185
0 1 0 0.202 0.195
0 1 0 0.181 0.15
0 1 0 0.166 0.094
0 1 0 0.204 0.18
0 1 0 0.171 0.095
0 1 0 0.198 0.185
0 1 0 0.203 0.18
0 1 0 0.198 0.158
0 1 0 0.177 0.091
0 1 0 0.191 0.165
0 1 0 0.175 0.107
0 1 0 0.191 0.175
0 1 0 0.201 0.175
0 1 0 0.192 0.17
0 1 0 0.158 0.095
0 1 0 0.165 0.1
0 1 0 0.169 0.1
0 1 0 0.194 0.185
0 1 0 0.16 0.092
0 1 0 0.193 0.165
0 1 0 0.198 0.19
0 1 0 0.199 0.175
0 1 0 0.155 0.1
0 1 0 0.194 0.155
0 1 0 0.163 0.1
0 1 0 0.171 0.1
0 1 0 0.179 0.095
0 1 0 0.194 0.155
0 1 0 0.159 0.105
0 1 0 0.204 0.18
0 1 0 0.193 0.18
0 1 0 0.2 0.165
0 1 0 0.203 0.185
0 1 0 0.16 0.095
0 1 0 0.171 0.09
0 1 0 0.19 0.2
0 1 0 0.191 0.19
0 1 0 0.196 0.185
0 1 0 0.161 0.095
0 1 0 0.161 0.11
0 1 0 0.208 0.146
0 1 0 0.191 0.19
0 1 0 0.159 0.09
0 1 0 0.164 0.095
0 1 0 0.213 0.19
0 1 0 0.166 0.11
0 1 0 0.205 0.194
0 1 0 0.195 0.195
0 0 1 0.268 0.056
0 0 1 0.216 0.305
0 0 1 0.233 0.335
0 0 1 0.26 0.569
0 0 1 0.233 0.324
0 0 1 0.272 0.565
0 0 1 0.253 0.525
0 0 1 0.252 0.47
0 0 1 0.255 0.429
0 0 1 0.336 0.742
0 0 1 0.22 0.32
0 0 1 0.26 0.565
0 0 1 0.169 0.64
0 0 1 0.223 0.39
0 0 1 0.255 0.44
0 0 1 0.23 0.35
0 0 1 0.247 0.375
0 0 1 0.237 0.365
0 0 1 0.223 0.375
0 0 1 0.199 0.187
0 0 1 0.23 0.34
0 0 1 0.265 0.464
0 0 1 0.22 0.335
0 0 1 0.259 0.47
0 0 1 0.236 0.39
0 0 1 0.265 0.47
0 0 1 0.254 0.505
0 0 1 0.23 0.34
0 0 1 0.261 0.505
0 0 1 0.265 0.365
0 0 1 0.234 0.38
0 0 1 0.271 0.475
0 0 1 0.266 0.535
0 0 1 0.223 0.55
0 0 1 0.32 0.229
0 0 1 0.252 0.34
0 0 1 0.213 0.339
0 0 1 0.227 0.155
0 0 1 0.239 0.183
0 0 1 0.218 0.295
0 0 1 0.268 0.469
0 0 1 0.252 0.54
0 0 1 0.227 0.33
0 0 1 0.24 0.34
0 0 1 0.273 0.53
0 0 1 0.243 0.334
0 0 1 0.194 0.163
0 0 1 0.145 0.32
0 0 1 0.225 0.325
0 0 0 0.218 0.378
0 0 0 0.367 0.545
0 0 0 0.409 0.601
0 0 0 0.168 0.279
0 0 0 0.289 0.482
0 0 0 0.336 0.528
0 0 0 0.186 0.315
0 0 0 0.258 0.426
0 0 0 0.397 0.579
0 0 0 0.198 0.342
0 0 0 0.324 0.506
0 0 0 0.276 0.452
0 0 0 0.349 0.533
0 0 0 0.225 0.397
0 0 0 0.372 0.568
0 0 0 0.417 0.603
0 0 0 0.24 0.34
0 0 0 0.299 0.487
0 0 0 0.329 0.515
0 0 0 0.209 0.365
