age,education.num,sex,hours.per.week,income
90,9,Female,40,30k or less
82,9,Female,18,30k or less
66,10,Female,40,30k or less
54,4,Female,40,30k or less
41,10,Female,40,30k or less
34,9,Female,45,30k or less
38,6,Male,40,30k or less
74,16,Female,20,Over 30k
68,9,Female,40,30k or less
45,16,Female,35,Over 30k
38,15,Male,45,Over 30k
52,13,Female,20,Over 30k
32,14,Male,55,Over 30k
51,16,Male,40,Over 30k
46,15,Male,40,Over 30k
45,7,Male,76,Over 30k
57,14,Male,50,Over 30k
34,13,Male,50,Over 30k
37,13,Male,40,Over 30k
29,7,Female,42,30k or less
61,9,Female,25,30k or less
51,10,Male,40,30k or less
61,9,Male,32,30k or less
21,11,Male,40,30k or less
37,6,Male,50,Over 30k
38,6,Male,90,Over 30k
23,10,Male,40,Over 30k
59,6,Female,50,Over 30k
52,15,Male,60,Over 30k
51,13,Male,50,Over 30k
60,9,Male,50,Over 30k
63,16,Female,60,Over 30k
53,9,Male,48,Over 30k
51,15,Female,50,Over 30k
37,16,Female,60,Over 30k
54,14,Female,40,Over 30k
44,13,Male,50,Over 30k
43,14,Female,40,Over 30k
51,10,Female,40,Over 30k
43,14,Female,40,Over 30k
71,9,Male,15,30k or less
48,13,Female,70,Over 30k
71,9,Male,52,30k or less
68,10,Female,40,30k or less
67,10,Male,40,30k or less
40,15,Male,45,Over 30k
50,9,Female,72,Over 30k
51,11,Male,39,Over 30k
42,10,Female,40,Over 30k
39,14,Male,45,Over 30k
32,13,Male,50,Over 30k
53,10,Male,45,Over 30k
40,10,Male,40,Over 30k
38,13,Female,45,Over 30k
33,11,Male,42,Over 30k
43,12,Male,70,Over 30k
50,7,Male,40,Over 30k
44,10,Female,6,Over 30k
41,15,Male,40,Over 30k
37,14,Male,60,Over 30k
39,13,Male,60,Over 30k
42,15,Male,60,Over 30k
49,13,Male,55,Over 30k
47,9,Male,50,Over 30k
41,15,Male,45,Over 30k
55,13,Male,50,Over 30k
39,14,Female,65,Over 30k
42,13,Male,60,Over 30k
41,11,Male,12,Over 30k
46,14,Male,65,Over 30k
40,14,Male,45,Over 30k
32,13,Male,48,Over 30k
41,10,Male,55,Over 30k
60,15,Male,80,Over 30k
58,10,Male,40,Over 30k
37,13,Male,50,Over 30k
44,13,Male,50,Over 30k
55,13,Male,50,Over 30k
44,14,Male,55,Over 30k
46,13,Male,40,Over 30k
39,10,Male,99,Over 30k
62,13,Male,60,Over 30k
31,9,Female,40,Over 30k
46,15,Male,80,Over 30k
39,11,Male,40,Over 30k
39,15,Male,99,Over 30k
59,16,Male,45,Over 30k
50,15,Male,60,Over 30k
46,16,Male,55,Over 30k
53,13,Male,40,Over 30k
50,15,Male,30,Over 30k
41,15,Female,55,Over 30k
36,13,Male,45,Over 30k
38,15,Male,90,Over 30k
54,10,Male,50,Over 30k
50,13,Female,20,Over 30k
47,13,Male,60,Over 30k
47,15,Male,45,Over 30k
67,13,Male,40,Over 30k
67,13,Male,75,Over 30k
72,16,Male,25,Over 30k
72,16,Male,6,Over 30k
46,14,Male,50,Over 30k
78,13,Male,40,Over 30k
71,13,Male,60,Over 30k
83,13,Male,55,Over 30k
68,14,Male,40,Over 30k
26,11,Male,45,30k or less
68,16,Male,60,Over 30k
49,9,Female,40,Over 30k
36,9,Male,60,30k or less
70,13,Male,12,Over 30k
27,10,Female,20,30k or less
35,10,Male,40,30k or less
23,9,Male,40,30k or less
81,9,Male,26,Over 30k
66,16,Male,25,Over 30k
71,9,Male,45,Over 30k
68,10,Male,55,Over 30k
65,13,Male,40,Over 30k
52,9,Male,40,30k or less
40,12,Male,50,30k or less
68,13,Male,35,Over 30k
21,10,Male,48,30k or less
35,9,Male,40,30k or less
70,13,Male,50,Over 30k
61,9,Male,50,30k or less
65,9,Male,65,30k or less
46,3,Female,45,30k or less
26,13,Male,55,30k or less
59,9,Male,40,30k or less
61,3,Male,40,30k or less
60,13,Female,40,30k or less
49,10,Male,50,30k or less
25,13,Female,35,30k or less
59,9,Female,40,30k or less
28,10,Male,40,30k or less
43,11,Female,36,30k or less
56,14,Female,60,30k or less
41,9,Male,40,30k or less
28,15,Male,40,30k or less
40,15,Female,35,30k or less
69,13,Male,40,Over 30k
66,9,Male,40,30k or less
69,3,Male,40,30k or less
55,14,Female,40,30k or less
57,9,Male,40,30k or less
20,10,Male,10,30k or less
33,9,Male,84,30k or less
38,10,Male,55,Over 30k
46,12,Male,38,Over 30k
29,13,Female,45,Over 30k
57,13,Male,40,30k or less
39,9,Male,42,Over 30k
47,13,Male,40,Over 30k
26,13,Male,45,Over 30k
27,9,Male,50,30k or less
23,13,Female,40,Over 30k
34,14,Male,50,30k or less
33,8,Male,42,30k or less
38,14,Female,60,30k or less
57,10,Female,38,Over 30k
36,9,Male,70,30k or less
