Age,BusinessTravel,Department,DistanceFromHome,Education,EducationField,Sex,JobLevel,JobRole,MaritalStatus,MonthlyIncome,Over18,OverTime,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
41,Travel_Rarely,Sales,1,2,Life Sciences,Female,2,Sales Executive,Single,5993,Y,Yes,8,0,6,4,0,5
49,Travel_Frequently,Research & Development,8,1,Life Sciences,Male,2,Research Scientist,Married,5130,Y,No,10,3,10,7,1,7
37,Travel_Rarely,Research & Development,2,2,Other,Male,1,Laboratory Technician,Single,2090,Y,Yes,7,3,0,0,0,0
33,Travel_Frequently,Research & Development,3,4,Life Sciences,Female,1,Research Scientist,Married,2909,Y,Yes,8,3,8,7,3,0
27,Travel_Rarely,Research & Development,2,1,Medical,Male,1,Laboratory Technician,Married,3468,Y,No,6,3,2,2,2,2
32,Travel_Frequently,Research & Development,2,2,Life Sciences,Male,1,Laboratory Technician,Single,3068,Y,No,8,2,7,7,3,6
59,Travel_Rarely,Research & Development,3,3,Medical,Female,1,Laboratory Technician,Married,2670,Y,Yes,12,3,1,0,0,0
30,Travel_Rarely,Research & Development,24,1,Life Sciences,Male,1,Laboratory Technician,Divorced,2693,Y,No,1,2,1,0,0,0
38,Travel_Frequently,Research & Development,23,3,Life Sciences,Male,3,Manufacturing Director,Single,9526,Y,No,10,2,9,7,1,8
36,Travel_Rarely,Research & Development,27,3,Medical,Male,2,Healthcare Representative,Married,5237,Y,No,17,3,7,7,7,7
35,Travel_Rarely,Research & Development,16,3,Medical,Male,1,Laboratory Technician,Married,2426,Y,No,6,5,5,4,0,3
29,Travel_Rarely,Research & Development,15,2,Life Sciences,Female,2,Laboratory Technician,Single,4193,Y,Yes,10,3,9,5,0,8
31,Travel_Rarely,Research & Development,26,1,Life Sciences,Male,1,Research Scientist,Divorced,2911,Y,No,5,1,5,2,4,3
34,Travel_Rarely,Research & Development,19,2,Medical,Male,1,Laboratory Technician,Divorced,2661,Y,No,3,2,2,2,1,2
28,Travel_Rarely,Research & Development,24,3,Life Sciences,Male,1,Laboratory Technician,Single,2028,Y,Yes,6,4,4,2,0,3
29,Travel_Rarely,Research & Development,21,4,Life Sciences,Female,3,Manufacturing Director,Divorced,9980,Y,No,10,1,10,9,8,8
32,Travel_Rarely,Research & Development,5,2,Life Sciences,Male,1,Research Scientist,Divorced,3298,Y,Yes,7,5,6,2,0,5
22,Non-Travel,Research & Development,16,2,Medical,Male,1,Laboratory Technician,Divorced,2935,Y,Yes,1,2,1,0,0,0
53,Travel_Rarely,Sales,2,4,Life Sciences,Female,4,Manager,Married,15427,Y,No,31,3,25,8,3,7
38,Travel_Rarely,Research & Development,2,3,Life Sciences,Male,1,Research Scientist,Single,3944,Y,Yes,6,3,3,2,1,2
24,Non-Travel,Research & Development,11,2,Other,Female,2,Manufacturing Director,Divorced,4011,Y,No,5,5,4,2,1,3
36,Travel_Rarely,Sales,9,4,Life Sciences,Male,1,Sales Representative,Single,3407,Y,No,10,4,5,3,0,3
34,Travel_Rarely,Research & Development,7,4,Life Sciences,Female,3,Research Director,Single,11994,Y,No,13,4,12,6,2,11
21,Travel_Rarely,Research & Development,15,2,Life Sciences,Male,1,Research Scientist,Single,1232,Y,No,0,6,0,0,0,0
34,Travel_Rarely,Research & Development,6,1,Medical,Male,1,Research Scientist,Single,2960,Y,No,8,2,4,2,1,3
53,Travel_Rarely,Research & Development,5,3,Other,Female,5,Manager,Divorced,19094,Y,No,26,3,14,13,4,8
32,Travel_Frequently,Research & Development,16,1,Life Sciences,Female,1,Research Scientist,Single,3919,Y,Yes,10,5,10,2,6,7
42,Travel_Rarely,Sales,8,4,Marketing,Male,2,Sales Executive,Married,6825,Y,No,10,2,9,7,4,2
44,Travel_Rarely,Research & Development,7,4,Medical,Female,3,Healthcare Representative,Married,10248,Y,No,24,4,22,6,5,17
46,Travel_Rarely,Sales,2,4,Marketing,Female,5,Manager,Single,18947,Y,No,22,2,2,2,2,1
33,Travel_Rarely,Research & Development,2,3,Medical,Male,1,Laboratory Technician,Single,2496,Y,No,7,3,1,1,0,0
